1 SEED
0 INIT_TIME
500000 FIN_TIME
10 ARRIVE_MIN
500 ARRIVE_MAX
0.2 QUIT_PROB
10 CPU_MIN
100 CPU_MAX
10 DISK1_MIN
100 DISK1_MAX
10 DISK2_MIN
100 DISK2_MAX
At time 0, Job 1 enters the CPU.
At time 94, Job 1 finishes at CPU.
At time 94, Job 1 arrives at Disk 2.
At time 94, Job 1 entered Disk 2.
At time 188, Job 1 finishes at Disk 2.
At time 188, Job 1 enters the CPU.
At time 282, Job 1 finishes at CPU.
At time 282, Job 1 arrives at Disk 2.
At time 282, Job 1 entered Disk 2.
At time 376, Job 1 finishes at Disk 2.
At time 376, Job 1 enters the CPU.
At time 470, Job 1 finishes at CPU.
At time 470, Job 1 arrives at Disk 2.
At time 470, Job 1 entered Disk 2.
At time 471, Job 1 arrives.
At time 471, Job 1 enters the CPU.
At time 565, Job 1 finishes at CPU.
At time 565, Job 1 arrives at Disk 2.
At time 942, Job 2 arrives.
At time 942, Job 2 enters the CPU.
At time 1036, Job 2 finishes at CPU.
At time 1036, Job 2 arrives at Disk 1.
At time 1036, Job 2 entered Disk 1.
At time 1130, Job 2 finishes at Disk 1.
At time 1130, Job 2 enters the CPU.
At time 1224, Job 2 finishes at CPU.
At time 1224, Job 2 arrives at Disk 1.
At time 1224, Job 2 entered Disk 1.
At time 1318, Job 2 finishes at Disk 1.
At time 1318, Job 2 enters the CPU.
At time 1412, Job 2 finishes at CPU.
At time 1412, Job 2 arrives at Disk 1.
At time 1412, Job 2 entered Disk 1.
At time 1413, Job 3 arrives.
At time 1413, Job 3 enters the CPU.
At time 1507, Job 3 finishes at CPU.
At time 1507, Job 3 arrives at Disk 1.
At time 1884, Job 4 arrives.
At time 1884, Job 4 enters the CPU.
At time 1978, Job 4 finishes at CPU.
At time 1978, Job 4 arrives at Disk 2.
At time 2355, Job 5 arrives.
At time 2355, Job 5 enters the CPU.
At time 2449, Job 5 finishes at CPU.
At time 2449, Job 5 arrives at Disk 1.
At time 2826, Job 6 arrives.
At time 2826, Job 6 enters the CPU.
At time 2920, Job 6 finishes at CPU.
At time 2920, Job 6 arrives at Disk 2.
At time 3297, Job 7 arrives.
At time 3297, Job 7 enters the CPU.
At time 3391, Job 7 finishes at CPU.
At time 3391, Job 7 arrives at Disk 1.
At time 3768, Job 8 arrives.
